canonical_key,term_de,article,pos,translations_ja,translations_en,prateritum,partizip_ii,plural,notes,levels,sources,categories
abend,der Abend,der,noun,夕方,evening,,,die Abende,,A1,german_vocab_master.xlsx,Zeit | noun | A1
abendessen,das Abendessen,das,noun,夕食,dinner,,,die Abendessen,,A1,german_vocab_master.xlsx,Essen | noun | A1
aber,aber,,conj,しかし,but,,,,,A1,german_vocab_master.xlsx,conj | A1
aber nach einer weile,aber nach einer Weile,,phrase,でもしばらくしたら,but after a while,,,,,B1,german_vocab_master.xlsx,phrase | B1
abfahren,abfahren,,verb,出発する,to depart,fuhr ab,ist abgefahren,,separable,A1,german_vocab_master.xlsx,verb | A1
abfahrt,die Abfahrt,die,noun,出発,departure,,,die Abfahrten,,A2,german_vocab_master.xlsx,Verkehr | noun | A2
abgas,das Abgas,das,noun,排気ガス,exhaust gas / emission,,,die Abgase,,B1,german_vocab_master.xlsx,noun | B1
abheben,abheben,,verb,引き出す,to withdraw,hob ab,hat abgehoben,,irregular,A2,german_vocab_master.xlsx,Einkaufen | verb | A2
abheften,abheften,,verb,ファイルに綴じる,to file / put in a folder,heftete ab,abgeheftet,,,B1,german_vocab_master.xlsx,verb | B1
abholen,abholen,,verb,迎えに行く,to pick up,holte ab,hat abgeholt,,separable,A1,german_vocab_master.xlsx,verb | A1
abhängen von (+dat.),abhängen von (+Dat.),,verb,〜次第である,to depend on,hing ab,abgehangen,,,B1,german_vocab_master.xlsx,verb | B1
ablegen,ablegen,,verb,提出する／脱ぐ／試験を受ける,to file / take off / take (an exam),legte ab,abgelegt,,,B1,german_vocab_master.xlsx,Schule | verb | B1
ablehnen,ablehnen,,verb,拒否する,to reject,lehnte ab,hat abgelehnt,,,A2,german_vocab_master.xlsx,verb | A2
ablenken,ablenken,,verb,気をそらす,to distract / divert attention,lenkte ab,abgelenkt,,,B1,german_vocab_master.xlsx,verb | B1
abnehmen,abnehmen,,verb,減る／痩せる,to decrease / lose weight / take off,nahm ab,abgenommen,,,B1,german_vocab_master.xlsx,verb | B1
abschluss,der Abschluss,der,noun,卒業,degree,,,die Abschlüsse,,A2,german_vocab_master.xlsx,Schule | noun | A2
abschneiden,abschneiden,,verb,切り取る／成績を収める,to cut off / perform,schnitt ab,abgeschnitten,,,B1,german_vocab_master.xlsx,verb | B1
absehbar,absehbar,,adj,予見可能な,foreseeable,,,,,C1,german_vocab_master.xlsx,adj | C1
absicht,die Absicht,die,noun,意図,intention,,,die Absichten,,B2,german_vocab_master.xlsx,noun | B2
abspülen,abspülen,,verb,すすぐ,to rinse / wash off,spülte ab,abgespült,,,B1,german_vocab_master.xlsx,verb | B1
abstimmen über (+akk.),abstimmen über (+Akk.),,verb,〜について採決する,to vote on / coordinate,stimmte ab,abgestimmt,,,B1,german_vocab_master.xlsx,verb | B1
abstrahieren,abstrahieren,,verb,抽象化する,to abstract,abstrahierte,hat abstrahiert,,,C1,german_vocab_master.xlsx,Wissenschaft | verb | C1
abstrakt,abstrakt,,adj,抽象的な,abstract,,,,,B2,german_vocab_master.xlsx,adj | B2
abstraktion,die Abstraktion,die,noun,抽象化,abstraction,,,die Abstraktionen,,C1,german_vocab_master.xlsx,Wissenschaft | noun | C1
abziehen,abziehen,,verb,差し引く,to deduct / withdraw / pull off,zog ab,abgezogen,,,B1,german_vocab_master.xlsx,verb | B1
acht,acht,,num,8,eight,,,,,A1,german_vocab_master.xlsx,num | A1
achtzehn,achtzehn,,num,18,eighteen,,,,,A1,german_vocab_master.xlsx,num | A1
achtzig,achtzig,,num,80,eighty,,,,,A1,german_vocab_master.xlsx,num | A1
adresse,die Adresse,die,noun,住所,address,,,die Adressen,,A1,german_vocab_master.xlsx,Wohnen | noun | A1
akte,die Akte,die,noun,ファイル／書類,file / dossier,,,die Akten,,B1,german_vocab_master.xlsx,noun | B1
aktie,die Aktie,die,noun,株,share,,,die Aktien,,B2,german_vocab_master.xlsx,Wirtschaft | noun | B2
aktienmarkt,der Aktienmarkt,der,noun,株式市場,stock market,,,die Aktienmärkte,,B2,german_vocab_master.xlsx,Wirtschaft | noun | B2
aktionär,der Aktionär,der,noun,株主,shareholder,,,die Aktionäre,,B2,german_vocab_master.xlsx,Wirtschaft | noun | B2
akzeptieren,akzeptieren,,verb,受け入れる,to accept,akzeptierte,hat akzeptiert,,,B2,german_vocab_master.xlsx,verb | B2
albtraum,der Albtraum,der,noun,悪夢,nightmare,,,die Albträume,,B1,german_vocab_master.xlsx,noun | B1
algorithmus,der Algorithmus,der,noun,アルゴリズム,algorithm,,,die Algorithmen,,B2,german_vocab_master.xlsx,Wissenschaft | noun | B2
allein,allein,,adv,一人で,alone,,,,,A1,german_vocab_master.xlsx,adv | A1
allerdings,allerdings,,adv,ただし／確かに,however / though / admittedly,,,,,B1,german_vocab_master.xlsx,adv | B1
allergie,die Allergie,die,noun,アレルギー,allergy,,,die Allergien,,A2,german_vocab_master.xlsx,Gesundheit | noun | A2
alles in allem,alles in allem,,phrase,全体として,all in all,,,,,C1,german_vocab_master.xlsx,phrase | C1
als,als,,conj,〜した時,when (past),,,,subord.,A1,german_vocab_master.xlsx,conj | A1
alt,alt,,adj,古い／高齢の,old,,,,,A1,german_vocab_master.xlsx,adj | A1
alterung,die Alterung,die,noun,高齢化,aging,,,,,C1,german_vocab_master.xlsx,Gesellschaft | noun | C1
am rande bemerkt,am Rande bemerkt,,phrase,余談だが,as an aside,,,,,C1,german_vocab_master.xlsx,phrase | C1
ambiente,das Ambiente,das,noun,雰囲気,atmosphere / ambiance,,,(uncountable),,B1,german_vocab_master.xlsx,noun | B1
amt,das Amt,das,noun,役所,office,,,die Ämter,,B2,german_vocab_master.xlsx,Arbeit | Politik | noun | B2
amtszeit,die Amtszeit,die,noun,任期,term of office,,,die Amtszeiten,,C1,german_vocab_master.xlsx,Politik | noun | C1
an,an,,prep,〜に,"at, on",,,,+ Akk./Dat.,A1,german_vocab_master.xlsx,prep | A1
analyse,die Analyse,die,noun,分析,analysis,,,die Analysen,,B2,german_vocab_master.xlsx,noun | B2
analysieren,analysieren,,verb,分析する,to analyze,analysierte,hat analysiert,,,B2,german_vocab_master.xlsx,verb | B2
anbauen,anbauen,,verb,栽培する／増築する,to cultivate / grow / build on,baute an,angebaut,,,B1,german_vocab_master.xlsx,verb | B1
anbei,anbei,,adv,添付,enclosed,,,,,C1,german_vocab_master.xlsx,adv | C1
anbieten,anbieten,,verb,提供する,to offer,bot an,hat angeboten,,irregular,A2,german_vocab_master.xlsx,verb | A2
andererseits,andererseits,,adv,他方では,on the other hand,,,,,B1,german_vocab_master.xlsx,adv | B1
andeuten,andeuten,,verb,ほのめかす,to imply,deutete an,hat angedeutet,,,B2,german_vocab_master.xlsx,verb | B2
anfahrt,die Anfahrt,die,noun,アクセス／向かう道のり,journey (to a place) / approach,,,die Anfahrten,,B1,german_vocab_master.xlsx,noun | B1
anfang,der Anfang,der,noun,始まり,beginning,,,die Anfänge,,A1,german_vocab_master.xlsx,noun | A1
anfangen,anfangen,,verb,始まる,to begin,fing an,hat angefangen,,separable,A1,german_vocab_master.xlsx,verb | A1
anfordern,anfordern,,verb,要請する,to request / requisition / demand,forderte an,angefordert,,,B1,german_vocab_master.xlsx,verb | B1
angeblich,angeblich,,adj/adv,～と言われる,allegedly,,,,,C1,german_vocab_master.xlsx,adj/adv | C1
angebot,das Angebot,das,noun,提案／オファー,offer,,,die Angebote,,A2,german_vocab_master.xlsx,noun | A2
angeklagte,der Angeklagte,der,noun,被告人,defendant / accused,,,die Angeklagten,,B1,german_vocab_master.xlsx,noun | B1
angst,die Angst,die,noun,不安,fear,,,die Ängste,,B2,german_vocab_master.xlsx,Gefühle | noun | B2
anhaltspunkt,der Anhaltspunkt,der,noun,手がかり,clue,,,die Anhaltspunkte,,C1,german_vocab_master.xlsx,noun | C1
anhand,anhand,,prep,～に基づいて,based on,,,,+Gen,B2,german_vocab_master.xlsx,prep | B2
anhang,der Anhang,der,noun,添付書類／付録,attachment / appendix,,,die Anhänge,,B1,german_vocab_master.xlsx,noun | B1
